check,values,max_difference,tolerance
teacher/492/initialization,54,0,0
teacher/492/clipped_initialization,54,0,0
teacher/492/parameter_record,54,0,0
teacher/492/forcing,1570,0,0
teacher/492/full_mean,3140,0,0
teacher/492/prefix_mean,1968,0,1e-08
teacher/492/state/coordinates,3140,0,0
teacher/492/prefix/coordinates,1968,0,1e-08
teacher/492/state/plastic,3140,0,0
teacher/492/prefix/plastic,1968,0,1e-08
teacher/492/state/contact,3140,0,0
teacher/492/prefix/contact,1968,0,1e-08
teacher/492/state/bulk_reaction,3140,0,0
teacher/492/prefix/bulk_reaction,1968,0,1e-08
teacher/492/state/basal_reaction,3140,0,0
teacher/492/prefix/basal_reaction,1968,0,1e-08
teacher/492/state/rain_head,3140,0,0
teacher/492/prefix/rain_head,1968,0,1e-08
teacher/492/state/reservoir_head,785,0,0
teacher/492/prefix/reservoir_head,492,0,1e-08
teacher/492/state/force,3140,0,0
teacher/492/prefix/force,1968,0,1e-08
teacher/492/state/kc,16,0,0
teacher/492/prefix/kc,16,0,1e-08
teacher/492/state/ke,16,0,0
teacher/492/prefix/ke,16,0,1e-08
teacher/492/state/moisture,3140,0,0
teacher/492/prefix/moisture,1968,0,1e-08
teacher/492/state/background,3140,0,0
teacher/492/prefix/background,1968,0,1e-08
teacher/492/state/background_rate,3140,0,0
teacher/492/prefix/background_rate,1968,0,1e-08
teacher/492/explicit_projection,3140,5.6843418860808015e-14,1e-08
teacher/492/derived_features,31400,0,1e-08
teacher/492/objective,3,0,1e-08
teacher/492/terminal_error,4,0,0
teacher/552/initialization,54,0,0
teacher/552/clipped_initialization,54,0,0
teacher/552/parameter_record,54,0,0
teacher/552/forcing,1690,0,0
teacher/552/full_mean,3380,0,0
teacher/552/prefix_mean,2208,0,1e-08
teacher/552/state/coordinates,3380,0,0
teacher/552/prefix/coordinates,2208,0,1e-08
teacher/552/state/plastic,3380,0,0
teacher/552/prefix/plastic,2208,0,1e-08
teacher/552/state/contact,3380,0,0
teacher/552/prefix/contact,2208,0,1e-08
teacher/552/state/bulk_reaction,3380,0,0
teacher/552/prefix/bulk_reaction,2208,0,1e-08
teacher/552/state/basal_reaction,3380,0,0
teacher/552/prefix/basal_reaction,2208,0,1e-08
teacher/552/state/rain_head,3380,0,0
teacher/552/prefix/rain_head,2208,0,1e-08
teacher/552/state/reservoir_head,845,0,0
teacher/552/prefix/reservoir_head,552,0,1e-08
teacher/552/state/force,3380,0,0
teacher/552/prefix/force,2208,0,1e-08
teacher/552/state/kc,16,0,0
teacher/552/prefix/kc,16,0,1e-08
teacher/552/state/ke,16,0,0
teacher/552/prefix/ke,16,0,1e-08
teacher/552/state/moisture,3380,0,0
teacher/552/prefix/moisture,2208,0,1e-08
teacher/552/state/background,3380,0,0
teacher/552/prefix/background,2208,0,1e-08
teacher/552/state/background_rate,3380,0,0
teacher/552/prefix/background_rate,2208,0,1e-08
teacher/552/explicit_projection,3380,5.6843418860808015e-14,1e-08
teacher/552/derived_features,33800,0,1e-08
teacher/552/objective,3,0,1e-08
teacher/552/terminal_error,4,0,0
teacher/672/initialization,54,0,0
teacher/672/clipped_initialization,54,0,0
teacher/672/parameter_record,54,0,0
teacher/672/forcing,1930,0,0
teacher/672/full_mean,3860,0,0
teacher/672/prefix_mean,2688,0,1e-08
teacher/672/state/coordinates,3860,0,0
teacher/672/prefix/coordinates,2688,0,1e-08
teacher/672/state/plastic,3860,0,0
teacher/672/prefix/plastic,2688,0,1e-08
teacher/672/state/contact,3860,0,0
teacher/672/prefix/contact,2688,0,1e-08
teacher/672/state/bulk_reaction,3860,0,0
teacher/672/prefix/bulk_reaction,2688,0,1e-08
teacher/672/state/basal_reaction,3860,0,0
teacher/672/prefix/basal_reaction,2688,0,1e-08
teacher/672/state/rain_head,3860,0,0
teacher/672/prefix/rain_head,2688,0,1e-08
teacher/672/state/reservoir_head,965,0,0
teacher/672/prefix/reservoir_head,672,0,1e-08
teacher/672/state/force,3860,0,0
teacher/672/prefix/force,2688,0,1e-08
teacher/672/state/kc,16,0,0
teacher/672/prefix/kc,16,0,1e-08
teacher/672/state/ke,16,0,0
teacher/672/prefix/ke,16,0,1e-08
teacher/672/state/moisture,3860,0,0
teacher/672/prefix/moisture,2688,0,1e-08
teacher/672/state/background,3860,0,0
teacher/672/prefix/background,2688,0,1e-08
teacher/672/state/background_rate,3860,0,0
teacher/672/prefix/background_rate,2688,0,1e-08
teacher/672/explicit_projection,3860,5.6843418860808015e-14,1e-08
teacher/672/derived_features,38600,0,1e-08
teacher/672/objective,3,3.5527136788005009e-15,1e-08
teacher/672/terminal_error,4,0,0
teacher/732/initialization,54,0,0
teacher/732/clipped_initialization,54,0,0
teacher/732/parameter_record,54,0,0
teacher/732/forcing,2050,0,0
teacher/732/full_mean,4100,0,0
teacher/732/prefix_mean,2928,0,1e-08
teacher/732/state/coordinates,4100,0,0
teacher/732/prefix/coordinates,2928,0,1e-08
teacher/732/state/plastic,4100,0,0
teacher/732/prefix/plastic,2928,0,1e-08
teacher/732/state/contact,4100,0,0
teacher/732/prefix/contact,2928,0,1e-08
teacher/732/state/bulk_reaction,4100,0,0
teacher/732/prefix/bulk_reaction,2928,0,1e-08
teacher/732/state/basal_reaction,4100,0,0
teacher/732/prefix/basal_reaction,2928,0,1e-08
teacher/732/state/rain_head,4100,0,0
teacher/732/prefix/rain_head,2928,0,1e-08
teacher/732/state/reservoir_head,1025,0,0
teacher/732/prefix/reservoir_head,732,0,1e-08
teacher/732/state/force,4100,0,0
teacher/732/prefix/force,2928,0,1e-08
teacher/732/state/kc,16,0,0
teacher/732/prefix/kc,16,0,1e-08
teacher/732/state/ke,16,0,0
teacher/732/prefix/ke,16,0,1e-08
teacher/732/state/moisture,4100,0,0
teacher/732/prefix/moisture,2928,0,1e-08
teacher/732/state/background,4100,0,0
teacher/732/prefix/background,2928,0,1e-08
teacher/732/state/background_rate,4100,0,0
teacher/732/prefix/background_rate,2928,0,1e-08
teacher/732/explicit_projection,4100,5.6843418860808015e-14,1e-08
teacher/732/derived_features,41000,0,1e-08
teacher/732/objective,3,0,1e-08
teacher/732/terminal_error,4,0,0
teacher/852/initialization,54,0,0
teacher/852/clipped_initialization,54,0,0
teacher/852/parameter_record,54,0,0
teacher/852/forcing,2290,0,0
teacher/852/full_mean,4580,0,0
teacher/852/prefix_mean,3408,0,1e-08
teacher/852/state/coordinates,4580,0,0
teacher/852/prefix/coordinates,3408,0,1e-08
teacher/852/state/plastic,4580,0,0
teacher/852/prefix/plastic,3408,0,1e-08
teacher/852/state/contact,4580,0,0
