check,values,max_difference,tolerance
432/forcing,1808,0,0
612/forcing,2168,0,0
792/forcing,2530,0,0
1168/forcing,2922,0,0
612/grid,3,0,0
612/support,3,0,0
612/complete_support,3,0,0
612/0/origin_schedule,800,0,0
612/0/horizon_schedule,12800,0,0
612/1/origin_schedule,800,0,0
612/1/horizon_schedule,12800,0,0
612/2/origin_schedule,800,0,0
612/2/horizon_schedule,12800,0,0
792/grid,6,0,0
792/support,6,0,0
792/complete_support,6,0,0
792/0/origin_schedule,800,0,0
792/0/horizon_schedule,12800,0,0
792/1/origin_schedule,800,0,0
792/1/horizon_schedule,12800,0,0
792/2/origin_schedule,800,0,0
792/2/horizon_schedule,12800,0,0
972/grid,9,0,0
972/support,9,0,0
972/complete_support,9,0,0
972/0/origin_schedule,800,0,0
972/0/horizon_schedule,12800,0,0
972/1/origin_schedule,800,0,0
972/1/horizon_schedule,12800,0,0
972/2/origin_schedule,800,0,0
972/2/horizon_schedule,12800,0,0
1168/grid,13,0,0
1168/support,13,0,0
1168/complete_support,13,0,0
1168/0/origin_schedule,800,0,0
1168/0/horizon_schedule,12800,0,0
1168/1/origin_schedule,800,0,0
1168/1/horizon_schedule,12800,0,0
1168/2/origin_schedule,800,0,0
1168/2/horizon_schedule,12800,0,0
G_CACHED/future_label_input_0,27552,0,0
G_CACHED/future_label_input_1,1,0,0
G_CACHED/future_label_input_2,160,0,0
G_CACHED/future_label_input_3,8,0,0
G_CACHED/target,12,0,0
G_CACHED/0/initialization/adjacency,16,0,0
G_CACHED/0/initialization/gru.weight_ih_l0,336,0,0
G_CACHED/0/initialization/gru.weight_hh_l0,192,0,0
G_CACHED/0/initialization/gru.bias_ih_l0,24,0,0
G_CACHED/0/initialization/gru.bias_hh_l0,24,0,0
G_CACHED/0/initialization/message.weight,64,0,0
G_CACHED/0/initialization/message.bias,8,0,0
G_CACHED/0/initialization/point.weight,16,0,0
G_CACHED/0/initialization/decode.weight,544,0,0
G_CACHED/0/initialization/decode.bias,16,0,0
G_CACHED/0/initialization/head.weight,16,0,0
G_CACHED/0/initialization/head.bias,1,0,0
G_CACHED/0/zero_output,1172,0,0
G_CACHED/0/zero_fallback,1172,2.2737367544323206e-13,9.9999999999999998e-13
G_CACHED/1/initialization/adjacency,16,0,0
G_CACHED/1/initialization/gru.weight_ih_l0,336,0,0
G_CACHED/1/initialization/gru.weight_hh_l0,192,0,0
G_CACHED/1/initialization/gru.bias_ih_l0,24,0,0
G_CACHED/1/initialization/gru.bias_hh_l0,24,0,0
G_CACHED/1/initialization/message.weight,64,0,0
G_CACHED/1/initialization/message.bias,8,0,0
G_CACHED/1/initialization/point.weight,16,0,0
G_CACHED/1/initialization/decode.weight,544,0,0
G_CACHED/1/initialization/decode.bias,16,0,0
G_CACHED/1/initialization/head.weight,16,0,0
G_CACHED/1/initialization/head.bias,1,0,0
G_CACHED/1/zero_output,1172,0,0
G_CACHED/1/zero_fallback,1172,2.2737367544323206e-13,9.9999999999999998e-13
G_CACHED/2/initialization/adjacency,16,0,0
