origin,seed,step,bin,mae,rmse,bias,mse,error_variance
612,0,0,h001_030,2.8324733101241306,3.36472708288398,-2.817731378748036,25.876806380811637,7.109752730084691
612,0,0,h031_090,17.45869168947782,19.02793037552938,-17.399652193552846,531.1823317857874,72.98927502240231
612,0,0,h091_180,39.20694959249767,39.43221502561448,-39.20694959249767,2136.2759920876115,18.50504314934686
612,0,0,h181_293,50.09794989872926,50.297077216352164,-50.09794989872926,3220.7037885656136,10.30807191230259
612,0,0,all,35.229315708374024,39.36744459201239,-35.21571629643962,2009.732462438126,364.4220115593618
612,0,50,h001_030,11.716484865979716,12.621513371501248,-11.716484865979716,166.39835573476404,23.026876214367217
612,0,50,h031_090,24.24317410241844,25.56426475826335,-24.24317410241844,789.2078572117963,66.91045290028153
612,0,50,h091_180,45.254930356303774,46.0286126464793,-45.18174656567338,2639.768351179229,61.151813485881675
612,0,50,h181_293,59.061726662629454,59.61160891904208,-59.061726662629454,4257.687516957717,50.07552025400416
612,0,50,all,42.8430165087678,46.717375190451456,-42.82053684611682,2631.5435601607624,403.2336385484863
612,0,100,h001_030,17.536652246868712,19.20412881750436,-17.536652246868712,376.77118720755624,62.54828716518481
612,0,100,h031_090,35.79054593678665,37.21381000540273,-35.79054593678665,1503.5332749139543,102.47546924288227
612,0,100,h091_180,60.53004053326009,61.579457558860014,-60.53004053326009,4279.519005312895,115.49848506835193
612,0,100,h181_293,69.3840950006628,70.47117003847782,-69.3840950006628,5641.687801730091,128.7579440458938
612,0,100,all,54.476582616660636,58.425171183692086,-54.476582616660636,3836.800560357423,497.55146868406825
612,0,200,h001_030,17.65496681641159,19.129108474283402,-17.65496681641159,381.11267825732784,56.98164481814252
612,0,200,h031_090,41.14211235656968,42.749421736636634,-41.14211235656968,1967.8832691132748,135.82691934298845
612,0,200,h091_180,69.77805292412845,70.65933880367416,-69.77805292412845,5466.464847142909,112.73278756066208
612,0,200,h181_293,74.91886475315603,76.10526813113462,-74.91886475315603,6448.037196760359,156.46913876883957
612,0,200,all,60.55983694936764,64.78055165624889,-60.55983694936764,4607.905856557334,580.3294992980575
612,0,400,h001_030,10.187661068283004,11.81680284359991,-10.082538100433158,155.95000688832556,40.71563005525187
612,0,400,h031_090,32.65823924387102,34.86158531438228,-32.65823924387102,1376.9105439043194,147.8456764080938
612,0,400,h091_180,65.87550051264111,66.97485008724681,-65.87550051264111,4953.335855903441,130.7730899343345
612,0,400,h181_293,70.78101604649557,72.18730758286173,-70.78101604649557,5861.069775001937,173.26879415040224
612,0,400,all,55.26339264871143,60.54761736608935,-55.25262920490428,4079.8438377045645,665.612797855815
612,1,0,h001_030,2.8324733101241306,3.36472708288398,-2.817731378748036,25.876806380811637,7.109752730084691
612,1,0,h031_090,17.45869168947782,19.02793037552938,-17.399652193552846,531.1823317857874,72.98927502240231
612,1,0,h091_180,39.20694959249767,39.43221502561448,-39.20694959249767,2136.2759920876115,18.50504314934686
