origin,method,seed,bin,mae,rmse,bias,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
612,BPLUS_CONTINUOUS,ensemble,h001_030,2.8841475681656368,3.2933724414996184,2.4509816399146502,,,,,,,,,,
612,BPLUS_CONTINUOUS,ensemble,h031_090,11.00285140631969,12.05835655082074,5.0547174850974663,,,,,,,,,,
612,BPLUS_CONTINUOUS,ensemble,h091_180,28.307634619857833,29.264913531283131,25.761231654291233,,,,,,,,,,
612,BPLUS_CONTINUOUS,ensemble,h181_293,47.159144027068969,48.627659805152113,47.013200641781566,,,,,,,,,,
612,BPLUS_CONTINUOUS,ensemble,all,29.431282942901532,34.94954821347779,27.330426688432816,,,,,,,,,,
612,BPLUS_CONTINUOUS,0,h001_030,2.8841475681656368,3.2933724414996184,2.4509816399146502,,,,,,,,,,
612,BPLUS_CONTINUOUS,0,h031_090,11.00285140631969,12.05835655082074,5.0547174850974663,,,,,,,,,,
612,BPLUS_CONTINUOUS,0,h091_180,28.307634619857833,29.264913531283131,25.761231654291233,,,,,,,,,,
612,BPLUS_CONTINUOUS,0,h181_293,47.159144027068969,48.627659805152113,47.013200641781566,,,,,,,,,,
612,BPLUS_CONTINUOUS,0,all,29.431282942901532,34.94954821347779,27.330426688432816,,,,,,,,,,
612,BPLUS_CONTINUOUS,1,h001_030,2.8841475681656368,3.2933724414996184,2.4509816399146502,,,,,,,,,,
612,BPLUS_CONTINUOUS,1,h031_090,11.00285140631969,12.05835655082074,5.0547174850974663,,,,,,,,,,
612,BPLUS_CONTINUOUS,1,h091_180,28.307634619857833,29.264913531283131,25.761231654291233,,,,,,,,,,
612,BPLUS_CONTINUOUS,1,h181_293,47.159144027068969,48.627659805152113,47.013200641781566,,,,,,,,,,
612,BPLUS_CONTINUOUS,1,all,29.431282942901532,34.94954821347779,27.330426688432816,,,,,,,,,,
612,BPLUS_CONTINUOUS,2,h001_030,2.8841475681656368,3.2933724414996184,2.4509816399146502,,,,,,,,,,
612,BPLUS_CONTINUOUS,2,h031_090,11.00285140631969,12.05835655082074,5.0547174850974663,,,,,,,,,,
612,BPLUS_CONTINUOUS,2,h091_180,28.307634619857833,29.264913531283131,25.761231654291233,,,,,,,,,,
612,BPLUS_CONTINUOUS,2,h181_293,47.159144027068969,48.627659805152113,47.013200641781566,,,,,,,,,,
612,BPLUS_CONTINUOUS,2,all,29.431282942901532,34.94954821347779,27.330426688432816,,,,,,,,,,
612,DRIFT1,ensemble,h001_030,0.98036082774694411,1.2823364094909706,-0.5178606674900128,,,,,,,,,,
612,DRIFT1,ensemble,h031_090,10.399889023707532,11.771279349460748,-8.4227374818683032,,,,,,,,,,
612,DRIFT1,ensemble,h091_180,22.600550895499651,23.061725898817951,-19.101628213435596,,,,,,,,,,
612,DRIFT1,ensemble,h181_293,27.762100056675528,28.50644126322382,-14.932184829816256,,,,,,,,,,
612,DRIFT1,ensemble,all,19.879082093017622,22.780897914938627,-13.404039228379656,,,,,,,,,,
612,DRIFT1,0,h001_030,0.98036082774694411,1.2823364094909706,-0.5178606674900128,,,,,,,,,,
612,DRIFT1,0,h031_090,10.399889023707532,11.771279349460748,-8.4227374818683032,,,,,,,,,,
612,DRIFT1,0,h091_180,22.600550895499651,23.061725898817951,-19.101628213435596,,,,,,,,,,
612,DRIFT1,0,h181_293,27.762100056675528,28.50644126322382,-14.932184829816256,,,,,,,,,,
612,DRIFT1,0,all,19.879082093017622,22.780897914938627,-13.404039228379656,,,,,,,,,,
612,DRIFT1,1,h001_030,0.98036082774694411,1.2823364094909706,-0.5178606674900128,,,,,,,,,,
612,DRIFT1,1,h031_090,10.399889023707532,11.771279349460748,-8.4227374818683032,,,,,,,,,,
612,DRIFT1,1,h091_180,22.600550895499651,23.061725898817951,-19.101628213435596,,,,,,,,,,
612,DRIFT1,1,h181_293,27.762100056675528,28.50644126322382,-14.932184829816256,,,,,,,,,,
612,DRIFT1,1,all,19.879082093017622,22.780897914938627,-13.404039228379656,,,,,,,,,,
612,DRIFT1,2,h001_030,0.98036082774694411,1.2823364094909706,-0.5178606674900128,,,,,,,,,,
612,DRIFT1,2,h031_090,10.399889023707532,11.771279349460748,-8.4227374818683032,,,,,,,,,,
612,DRIFT1,2,h091_180,22.600550895499651,23.061725898817951,-19.101628213435596,,,,,,,,,,
612,DRIFT1,2,h181_293,27.762100056675528,28.50644126322382,-14.932184829816256,,,,,,,,,,
612,DRIFT1,2,all,19.879082093017622,22.780897914938627,-13.404039228379656,,,,,,,,,,
612,RR_COND,ensemble,h001_030,6.6520341805291121,7.0717622808418703,4.6134236917115139,,,,,,,,,,
612,RR_COND,ensemble,h031_090,13.216075895987387,15.434875121910899,9.9542934503701126,,,,,,,,,,
612,RR_COND,ensemble,h091_180,34.726326491410603,35.722516311254061,31.829454958128984,,,,,,,,,,
612,RR_COND,ensemble,h181_293,48.58722022514101,50.958818044442793,48.485603944829968,,,,,,,,,,
612,RR_COND,ensemble,all,32.792665013116057,38.231831608019327,30.986977849047602,,,,,,,,,,
612,RR_COND,0,h001_030,6.6520341805291121,7.0717622808418703,4.6134236917115139,,,,,,,,,,
612,RR_COND,0,h031_090,13.216075895987387,15.434875121910899,9.9542934503701126,,,,,,,,,,
612,RR_COND,0,h091_180,34.726326491410603,35.722516311254061,31.829454958128984,,,,,,,,,,
612,RR_COND,0,h181_293,48.58722022514101,50.958818044442793,48.485603944829968,,,,,,,,,,
612,RR_COND,0,all,32.792665013116057,38.231831608019327,30.986977849047602,,,,,,,,,,
612,RR_COND,1,h001_030,6.6520341805291121,7.0717622808418703,4.6134236917115139,,,,,,,,,,
612,RR_COND,1,h031_090,13.216075895987387,15.434875121910899,9.9542934503701126,,,,,,,,,,
612,RR_COND,1,h091_180,34.726326491410603,35.722516311254061,31.829454958128984,,,,,,,,,,
612,RR_COND,1,h181_293,48.58722022514101,50.958818044442793,48.485603944829968,,,,,,,,,,
612,RR_COND,1,all,32.792665013116057,38.231831608019327,30.986977849047602,,,,,,,,,,
612,RR_COND,2,h001_030,6.6520341805291121,7.0717622808418703,4.6134236917115139,,,,,,,,,,
612,RR_COND,2,h031_090,13.216075895987387,15.434875121910899,9.9542934503701126,,,,,,,,,,
612,RR_COND,2,h091_180,34.726326491410603,35.722516311254061,31.829454958128984,,,,,,,,,,
612,RR_COND,2,h181_293,48.58722022514101,50.958818044442793,48.485603944829968,,,,,,,,,,
612,RR_COND,2,all,32.792665013116057,38.231831608019327,30.986977849047602,,,,,,,,,,
612,TiDE_PHYS,ensemble,h001_030,3.3381134445670919,4.0344713591396051,-3.1549690072161183,,,,,,,,,,
612,TiDE_PHYS,ensemble,h031_090,13.913651992954199,15.830033637966274,-13.76122741956285,,,,,,,,,,
612,TiDE_PHYS,ensemble,h091_180,36.633674775839935,37.331669798782286,-36.601530482994932,,,,,,,,,,
612,TiDE_PHYS,ensemble,h181_293,52.307980340081322,52.639125460341049,-52.307980340081322,,,,,,,,,,
612,TiDE_PHYS,ensemble,all,34.617047887948971,39.589978221762905,-34.557209000986312,,,,,,,,,,
612,TiDE_PHYS,0,h001_030,7.1551918321914467,8.4908218661286359,-6.9617872056031818,,,,,,,,,,
612,TiDE_PHYS,0,h031_090,23.503085600988221,26.585048488019375,-23.503085600988221,,,,,,,,,,
612,TiDE_PHYS,0,h091_180,53.451342301929863,54.930632385432347,-53.451342301929863,,,,,,,,,,
612,TiDE_PHYS,0,h181_293,63.667713518908229,64.918764931069475,-63.667713518908229,,,,,,,,,,
612,TiDE_PHYS,0,all,46.518475514796435,52.094684319066431,-46.498672993302755,,,,,,,,,,
612,TiDE_PHYS,1,h001_030,2.4455117973455804,3.1054572698600951,-1.2441372980096896,,,,,,,,,,
612,TiDE_PHYS,1,h031_090,12.063598741239971,13.422837132132905,-11.194225015930536,,,,,,,,,,
