origin,arm,seed,step,target_index,distance,point,observed,prediction
612,G10_ANCHOR_UNIFORM,ensemble,0,612,1,ATU1,408.19971209164231,408.19798026367863
612,G10_ANCHOR_UNIFORM,ensemble,0,612,1,ATU5,506.78906953803312,506.96343464501416
612,G10_ANCHOR_UNIFORM,ensemble,0,612,1,MJ3,1193.191727498968,1193.4610210519902
612,G10_ANCHOR_UNIFORM,ensemble,0,612,1,MJ1,863.45810620297868,863.63556225377067
612,G10_ANCHOR_UNIFORM,ensemble,0,613,2,ATU1,408.22357110615218,408.22245380722444
612,G10_ANCHOR_UNIFORM,ensemble,0,613,2,ATU5,506.8982783836147,507.24720654310659
612,G10_ANCHOR_UNIFORM,ensemble,0,613,2,MJ3,1193.239018180552,1193.8493190698259
612,G10_ANCHOR_UNIFORM,ensemble,0,613,2,MJ1,863.89025426635226,864.53859634683829
612,G10_ANCHOR_UNIFORM,ensemble,0,614,3,ATU1,408.24706302642568,408.24822246040566
612,G10_ANCHOR_UNIFORM,ensemble,0,614,3,ATU5,507.00579170747551,507.52901404925495
612,G10_ANCHOR_UNIFORM,ensemble,0,614,3,MJ3,1193.278835096545,1194.1840353150974
612,G10_ANCHOR_UNIFORM,ensemble,0,614,3,MJ1,864.34210855027936,865.30184251727394
612,G10_ANCHOR_UNIFORM,ensemble,0,615,4,ATU1,408.27082810702473,408.29990941278794
612,G10_ANCHOR_UNIFORM,ensemble,0,615,4,ATU5,507.11204845654038,507.8328251225048
612,G10_ANCHOR_UNIFORM,ensemble,0,615,4,MJ3,1193.3115696027839,1194.5899151305139
612,G10_ANCHOR_UNIFORM,ensemble,0,615,4,MJ1,864.8126478625112,866.13988491435441
612,G10_ANCHOR_UNIFORM,ensemble,0,616,5,ATU1,408.29550660251113,408.36923466168543
612,G10_ANCHOR_UNIFORM,ensemble,0,616,5,ATU5,507.21748757773412,508.15682156821794
612,G10_ANCHOR_UNIFORM,ensemble,0,616,5,MJ3,1193.337613055103,1195.028902107354
612,G10_ANCHOR_UNIFORM,ensemble,0,616,5,MJ1,865.30085101079851,866.87612971189048
612,G10_ANCHOR_UNIFORM,ensemble,0,617,6,ATU1,408.32173876744679,408.441790270637
612,G10_ANCHOR_UNIFORM,ensemble,0,617,6,ATU5,507.3225480179816,508.49010645979371
612,G10_ANCHOR_UNIFORM,ensemble,0,617,6,MJ3,1193.3573568093409,1195.48165099483
612,G10_ANCHOR_UNIFORM,ensemble,0,617,6,MJ1,865.80569680289227,867.50728498203136
612,G10_ANCHOR_UNIFORM,ensemble,0,618,7,ATU1,408.35016485639369,408.51317810875918
612,G10_ANCHOR_UNIFORM,ensemble,0,618,7,ATU5,507.42766872420782,508.82766657886515
612,G10_ANCHOR_UNIFORM,ensemble,0,618,7,MJ3,1193.371192221332,1195.989424716988
612,G10_ANCHOR_UNIFORM,ensemble,0,618,7,MJ1,866.32616404654345,868.23618921135824
612,G10_ANCHOR_UNIFORM,ensemble,0,619,8,ATU1,408.38142512391357,408.60511669783335
612,G10_ANCHOR_UNIFORM,ensemble,0,619,8,ATU5,507.53328864333758,509.18535748948079
612,G10_ANCHOR_UNIFORM,ensemble,0,619,8,MJ3,1193.3795106469131,1196.5508021893443
612,G10_ANCHOR_UNIFORM,ensemble,0,619,8,MJ1,866.86123154950315,868.95853926197788
612,G10_ANCHOR_UNIFORM,ensemble,0,620,9,ATU1,408.41615982456858,408.7211916682939
612,G10_ANCHOR_UNIFORM,ensemble,0,620,9,ATU5,507.63984672229572,509.56637900803145
612,G10_ANCHOR_UNIFORM,ensemble,0,620,9,MJ3,1193.3827034419189,1197.1630329078725
612,G10_ANCHOR_UNIFORM,ensemble,0,620,9,MJ1,867.40987811952243,869.65648375891362
612,G10_ANCHOR_UNIFORM,ensemble,0,621,10,ATU1,408.45500921292052,408.8441731169134
612,G10_ANCHOR_UNIFORM,ensemble,0,621,10,ATU5,507.7477819080072,509.95749377888825
612,G10_ANCHOR_UNIFORM,ensemble,0,621,10,MJ3,1193.3811619621879,1197.8184753045657
612,G10_ANCHOR_UNIFORM,ensemble,0,621,10,MJ1,867.97108256435206,870.39006353770185
612,G10_ANCHOR_UNIFORM,ensemble,0,622,11,ATU1,408.49861354353118,408.88181207710448
612,G10_ANCHOR_UNIFORM,ensemble,0,622,11,ATU5,507.85753314739691,510.29220300363187
