slot,origin,history_last,teacher_prefix,target_max,training_prefix,scaling_prefix
0,434,433,432,722,972,972
1,438,437,432,726,972,972
2,442,441,432,730,972,972
3,446,445,432,734,972,972
4,450,449,432,738,972,972
5,455,454,432,743,972,972
6,459,458,432,747,972,972
7,463,462,432,751,972,972
8,467,466,432,755,972,972
9,472,471,432,760,972,972
10,476,475,432,764,972,972
11,480,479,432,768,972,972
12,484,483,432,772,972,972
13,488,487,432,776,972,972
14,493,492,432,781,972,972
15,497,496,432,785,972,972
16,501,500,432,789,972,972
17,505,504,432,793,972,972
18,510,509,432,798,972,972
19,514,513,432,802,972,972
20,518,517,432,806,972,972
21,522,521,432,810,972,972
22,526,525,432,814,972,972
23,531,530,432,819,972,972
24,535,534,432,823,972,972
25,539,538,432,827,972,972
26,543,542,432,831,972,972
27,548,547,432,836,972,972
28,552,551,432,840,972,972
29,556,555,432,844,972,972
30,560,559,432,848,972,972
31,564,563,432,852,972,972
32,569,568,432,857,972,972
33,573,572,432,861,972,972
34,577,576,432,865,972,972
35,581,580,432,869,972,972
36,585,584,432,873,972,972
37,590,589,432,878,972,972
38,594,593,432,882,972,972
39,598,597,432,886,972,972
40,602,601,432,890,972,972
41,607,606,432,895,972,972
42,611,610,432,899,972,972
43,615,614,612,903,972,972
44,619,618,612,907,972,972
45,623,622,612,911,972,972
46,628,627,612,916,972,972
47,632,631,612,920,972,972
48,636,635,612,924,972,972
49,640,639,612,928,972,972
50,645,644,612,933,972,972
51,649,648,612,937,972,972
52,653,652,612,941,972,972
53,657,656,612,945,972,972
54,661,660,612,949,972,972
55,666,665,612,954,972,972
56,670,669,612,958,972,972
57,674,673,612,962,972,972
58,678,677,612,966,972,972
59,683,682,612,967,972,972
60,687,686,612,967,972,972
61,691,690,612,967,972,972
62,695,694,612,967,972,972
63,699,698,612,967,972,972
64,704,703,612,967,972,972
65,708,707,612,967,972,972
66,712,711,612,967,972,972
67,716,715,612,968,972,972
68,720,719,612,968,972,972
69,725,724,612,968,972,972
70,729,728,612,968,972,972
71,733,732,612,968,972,972
72,737,736,612,968,972,972
73,742,741,612,968,972,972
74,746,745,612,968,972,972
75,750,749,612,968,972,972
76,754,753,612,968,972,972
77,758,757,612,968,972,972
78,763,762,612,968,972,972
79,767,766,612,968,972,972
80,771,770,612,968,972,972
81,775,774,612,968,972,972
82,780,779,612,969,972,972
83,784,783,612,969,972,972
84,788,787,612,969,972,972
85,792,791,792,969,972,972
86,796,795,792,969,972,972
87,801,800,792,969,972,972
88,805,804,792,969,972,972
89,809,808,792,969,972,972
90,813,812,792,969,972,972
91,818,817,792,969,972,972
92,822,821,792,969,972,972
93,826,825,792,969,972,972
94,830,829,792,969,972,972
95,834,833,792,969,972,972
96,839,838,792,969,972,972
97,843,842,792,969,972,972
98,847,846,792,970,972,972
99,851,850,792,970,972,972
100,855,854,792,970,972,972
101,860,859,792,970,972,972
102,864,863,792,970,972,972
103,868,867,792,970,972,972
104,872,871,792,970,972,972
105,877,876,792,970,972,972
106,881,880,792,970,972,972
107,885,884,792,970,972,972
108,889,888,792,970,972,972
109,893,892,792,970,972,972
110,898,897,792,970,972,972
111,902,901,792,970,972,972
112,906,905,792,970,972,972
113,910,909,792,971,972,972
114,915,914,792,971,972,972
115,919,918,792,971,972,972
116,923,922,792,971,972,972
117,927,926,792,971,972,972
118,931,930,792,971,972,972
119,936,935,792,971,972,972
120,940,939,792,971,972,972
121,944,943,792,971,972,972
122,948,947,792,971,972,972
123,953,952,792,971,972,972
124,957,956,792,971,972,972
125,961,960,792,971,972,972
126,965,964,792,971,972,972
127,969,968,792,971,972,972
