origin,point,required_correction_mean_mm,predicted_correction_mean_mm
792,ATU1,-29.335478509690908,12.575915119088609
792,ATU5,-37.540839766187069,36.095777324283979
792,MJ3,-5.0590840246373849,-41.603947399545177
792,MJ1,-22.162592224474757,-17.743600061153014
972,ATU1,-57.476507409896605,-17.574013260224511
972,ATU5,-65.468688930976498,-26.260210607474175
972,MJ3,-57.516529312457109,-19.022978221467543
972,MJ1,-65.790696965530515,-15.469107257233528
1168,ATU1,-0.84180929042166308,-16.664558334499691
1168,ATU5,-7.3813527131132393,-9.9118186120126595
1168,MJ3,8.7790588990733696,-28.642011862819718
1168,MJ1,-5.2411274404122556,-29.102600534196512
