phase,model,point,bias_mm,std_mm,rms_mm,issued_sigma_mm,forecast_rmse_mm
development,BPLUS_CONTINUOUS,ATU1,-1.2111448647592011,2.6348547228938171,2.8998847036026167,2.8998847036026167,40.328442814079295
development,BPLUS_CONTINUOUS,ATU5,4.5443880839646615,3.5940323546346273,5.7938356573034175,5.7938356573034193,48.518020357563614
development,BPLUS_CONTINUOUS,MJ3,-81.517558750514766,15.71451817876102,83.018422450888792,83.018422450888792,36.377155092530664
development,BPLUS_CONTINUOUS,MJ1,-24.86061108585562,4.9443246472713254,25.347511313337691,25.347511313337691,40.249869223585421
development,TRANSFORMER_BRES_COND,ATU1,-5.7707689608807868,4.0258392528863434,7.0362743046263905,7.0362743046263914,49.667692611174459
development,TRANSFORMER_BRES_COND,ATU5,0.95274932837550319,2.8559950295347343,3.010720659816696,3.010720659816696,55.108665433207285
development,TRANSFORMER_BRES_COND,MJ3,-84.024406989650871,13.8836003192693,85.16369724118195,85.163697241181936,43.35515017871947
development,TRANSFORMER_BRES_COND,MJ1,-24.831415059071585,4.2785784598583678,25.197329371841196,25.197329371841199,44.614959314268674
development,TRANSFORMER_BRES_REG1,ATU1,-4.756583793574948,3.0243183085443492,5.6366293666247378,5.6366293666247369,44.159616828432725
development,TRANSFORMER_BRES_REG1,ATU5,1.1075330318991152,3.0357660494862109,3.2314864882837995,3.2314864882837995,51.395397750698237
development,TRANSFORMER_BRES_REG1,MJ3,-82.576523196066546,14.665615212104525,83.868721539677878,83.868721539677878,39.476794749243389
development,TRANSFORMER_BRES_REG1,MJ1,-24.951732149750679,4.5107831890128791,25.356184694294669,25.356184694294669,42.622404280404602
final_exploratory,BPLUS_CONTINUOUS,ATU1,-58.920947274646281,4.6864798693151473,59.107031064900767,59.10703106490076,8.0682459891575906
final_exploratory,BPLUS_CONTINUOUS,ATU5,-64.520569059001943,2.8134315714795841,64.581880035384827,64.581880035384827,9.1150067099766563
final_exploratory,BPLUS_CONTINUOUS,MJ3,-71.575616016524279,15.964429414057625,73.334383577291717,73.334383577291732,13.016273948901418
final_exploratory,BPLUS_CONTINUOUS,MJ1,-69.291542464199054,13.383049597985996,70.572118245168568,70.572118245168568,6.2971662230627263
final_exploratory,TRANSFORMER_BRES_COND,ATU1,-76.754663752330401,3.7783405397515288,76.847604158930224,76.847604158930224,7.4835411913386451
final_exploratory,TRANSFORMER_BRES_COND,ATU5,-81.436448854802606,6.6524187642718573,81.707710024795801,81.707710024795816,6.6469539925140566
final_exploratory,TRANSFORMER_BRES_COND,MJ3,-81.264104432476287,12.313418983847068,82.191696394977654,82.191696394977654,16.488313314109192
final_exploratory,TRANSFORMER_BRES_COND,MJ1,-78.366514390760727,8.55218161082467,78.831785391819167,78.831785391819182,6.4975194208905496
final_exploratory,TRANSFORMER_BRES_REG1,ATU1,-67.223073939040347,4.0679992347299798,67.346048789720754,67.346048789720754,7.5760138654794815
final_exploratory,TRANSFORMER_BRES_REG1,ATU5,-73.735473910707952,4.3642901884861001,73.864518827959685,73.864518827959685,6.874177030315006
final_exploratory,TRANSFORMER_BRES_REG1,MJ3,-76.434207232335297,14.187076965548647,77.739701491978849,77.739701491978849,15.272657164200394
final_exploratory,TRANSFORMER_BRES_REG1,MJ1,-74.09896912869101,10.796650130040897,74.881405435296244,74.88140543529623,5.9064857982094363
