model,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
BPLUS_CONTINUOUS,ATU1,376,35.977567233169466,40.32844281407931,34.396354276572758,0.050531914893617018,7.4327035636015353,330.96169518151282,0.053191489361702128,9.5397717449237369,636.59462547096882,0.053191489361702128,11.367339156759499,1230.8699190230222
BPLUS_CONTINUOUS,ATU5,376,43.554990849068659,48.518020357563614,40.59143582169937,0.1702127659574468,14.850198314250747,381.18465023290179,0.18351063829787234,19.060023189752656,717.08799432552428,0.18882978723404256,22.711418441317392,1359.3410340202095
BPLUS_CONTINUOUS,MJ3,376,20.525886341157616,36.377155092530664,25.335082863265963,1,212.78477852195917,212.78477852195917,1,273.10630654426768,273.10630654426768,1,325.42623611414683,325.42623611414683
BPLUS_CONTINUOUS,MJ1,376,33.002102984452243,40.249869223585414,23.817619101911585,0.71276595744680848,64.9682856125348,155.36447252037513,0.75531914893617025,83.385891835873934,215.61198051699671,0.78457446808510634,99.360418543726865,290.10254584906369
DRIFT1,ATU1,376,7.9945153492393128,9.3317841877160976,8.3291891007849514,1,79.195486039368689,79.195486039368689,1,101.64630589381217,101.64630589381217,1,121.11904393745233,121.11904393745233
DRIFT1,ATU5,376,4.7458053740945605,5.9170301992313066,11.043781199799774,1,117.80226627509001,117.80226627509001,1,151.19757187713526,151.19757187713526,1,180.16301911211579,180.16301911211579
DRIFT1,MJ3,376,3.747390114316675,4.6640387089536581,2.7551694265934543,0.91755319148936165,17.672440570802792,18.798017861752317,0.98936170212765961,22.682331910395078,22.734487691238577,1,27.027665502463151,27.027665502463151
DRIFT1,MJ1,376,5.210871565672706,6.2524187872154355,3.6738938693808141,0.94946808510638303,21.768134553063646,21.874309786615495,1,27.939098226108854,27.939098226108854,1,33.291488912110935,33.291488912110935
RR_COND,ATU1,376,46.170171515477278,50.597734235533878,36.830243505523406,0.14893617021276595,46.220192834401367,287.85908247244862,0.21542553191489361,59.322975263780556,436.33778886777083,0.29255319148936171,70.687684951191557,656.30935847636681
RR_COND,ATU5,376,49.041025827670317,55.203993214353559,44.985617194087325,0.039893617021276598,18.794455370981723,416.27338875985583,0.063829787234042548,24.122422315796257,768.58071626922037,0.079787234042553196,28.74363905951418,1431.9650748129316
RR_COND,MJ3,376,31.8644468229399,41.678539494875238,28.801818523330301,1,238.16140974428754,238.16140974428754,1,305.67686010456828,305.67686010456828,1,364.23644444437696,364.23644444437696
RR_COND,MJ1,376,25.652194519556552,36.119049655539357,20.155965284249355,0.7021276595744681,63.065915681370825,154.10023443630064,0.7313829787234043,80.944226463050001,212.01740988671861,0.73936170212765961,96.450994802537934,276.71835372418639
TRANSFORMER_BRES_COND,ATU1,376,43.629134155800898,49.667692611174459,39.91568857367939,0.085106382978723402,18.034696701390427,368.49108929941252,0.098404255319148939,23.147282620380334,677.64927860266937,0.17287234042553193,27.581688444824678,1258.8668355195373
TRANSFORMER_BRES_COND,ATU5,376,47.44688126682189,55.108665433207285,45.849885526471923,0.10372340425531915,7.7167875500110767,445.19825965248231,0.13829787234042554,9.9043895940744733,865.69341191132889,0.18351063829787234,11.801808121502745,1691.4269428148086
TRANSFORMER_BRES_COND,MJ3,376,32.063809179020957,43.35515017871947,28.124153559513431,1,218.28333905400629,218.28333905400629,1,280.16363258351021,280.16363258351021,1,333.83555876597939,333.83555876597939
TRANSFORMER_BRES_COND,MJ1,376,36.209234378645192,44.614959314268674,26.758833270534016,0.68351063829787229,64.583353808052109,186.7032192702807,0.7021276595744681,82.891837213527666,270.88069259194873,0.72872340425531912,98.771716150803982,383.95464982285949
TRANSFORMER_BRES_REG1,ATU1,376,38.877976312974305,44.159616828432725,35.887711100752831,0.077127659574468085,14.447262378385178,333.77161049569872,0.16755319148936171,18.542860514947737,620.65727923479835,0.18351063829787234,22.095181105570642,1168.0080109621799
TRANSFORMER_BRES_REG1,ATU5,376,44.823706289090644,51.395397750698223,43.132247111134006,0.14893617021276595,8.282633136192544,417.3035391690355,0.18351063829787234,10.630644541396578,809.1078499144021,0.18882978723404256,12.667194267128025,1576.4516643924076
TRANSFORMER_BRES_REG1,MJ3,376,25.936492745015101,39.476794749243389,26.511668400449427,1,214.96418277879684,214.96418277879684,1,275.90354162464428,275.90354162464428,1,328.75934729437449,328.75934729437449
TRANSFORMER_BRES_REG1,MJ1,376,34.949569131623157,42.622404280404609,25.489602468278434,0.68882978723404253,64.990516382422797,171.61027171250933,0.72606382978723405,83.414424720123975,242.36332194319584,0.75,99.394417572326617,333.58168289733879
